_id,city_mpg,driven_wheels,engine_cylinders,engine_fuel_type,engine_hp,highway_mpg,isDeleted,make,market_category,model,number_of_doors,popularity,price,release_date,size,style,transmission_type
6379dfd9258bfcd8277959a3,19,rear wheel drive,6,premium unleaded (required),335,26,false,BMW,"Factory Tuner,Luxury,High-Performance",1 Series M,2,3916,46135,2011,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959a4,19,rear wheel drive,6,premium unleaded (required),300,28,false,BMW,"Luxury,Performance",1 Series,2,3916,40650,2011,Compact,Convertible,MANUAL
6379dfd9258bfcd8277959a5,20,rear wheel drive,6,premium unleaded (required),300,28,false,BMW,"Luxury,High-Performance",1 Series,2,3916,36350,2011,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959a6,18,rear wheel drive,6,premium unleaded (required),230,28,false,BMW,"Luxury,Performance",1 Series,2,3916,29450,2011,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959a7,18,rear wheel drive,6,premium unleaded (required),230,28,false,BMW,Luxury,1 Series,2,3916,34500,2011,Compact,Convertible,MANUAL
6379dfd9258bfcd8277959a8,18,rear wheel drive,6,premium unleaded (required),230,28,false,BMW,"Luxury,Performance",1 Series,2,3916,31200,2012,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959a9,17,rear wheel drive,6,premium unleaded (required),300,26,false,BMW,"Luxury,Performance",1 Series,2,3916,44100,2012,Compact,Convertible,MANUAL
6379dfd9258bfcd8277959aa,20,rear wheel drive,6,premium unleaded (required),300,28,false,BMW,"Luxury,High-Performance",1 Series,2,3916,39300,2012,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959ab,18,rear wheel drive,6,premium unleaded (required),230,28,false,BMW,Luxury,1 Series,2,3916,36900,2012,Compact,Convertible,MANUAL
6379dfd9258bfcd8277959ac,18,rear wheel drive,6,premium unleaded (required),230,27,false,BMW,Luxury,1 Series,2,3916,37200,2013,Compact,Convertible,MANUAL
6379dfd9258bfcd8277959ad,20,rear wheel drive,6,premium unleaded (required),300,28,false,BMW,"Luxury,High-Performance",1 Series,2,3916,39600,2013,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959ae,19,rear wheel drive,6,premium unleaded (required),230,28,false,BMW,"Luxury,Performance",1 Series,2,3916,31500,2013,Compact,Coupe,MANUAL
6379dfd9258bfcd8277959af,19,rear wheel drive,6,premium unleaded (required),300,28,false,BMW,"Luxury,Performance",1 Series,2,3916,44400,2013,Compact,Convertible,MANUAL
